layer_name,next_layer,layer_type,num_act_in_gradients,num_act_out_gradients,num_weight_gradients,forward_macs,mp_extra_compute
LayerNorm-3-4,Quant_IP-7-1,LayerNorm-3-4,768,768,1536,1536,0
Quant_IP-7-1,Quant_IP-7-2,Quant_IP-7-1,768,768,590594,590594,0
Quant_IP-7-2,Quant_IP-7-3,Quant_IP-7-2,768,768,590594,590594,0
Quant_IP-7-3,Quant_MatMul-7-4,Quant_IP-7-3,768,768,590594,590594,0
Quant_MatMul-7-4,Quant_MatMul-7-5,Quant_MatMul-7-4,768,768,2,589824,0
Quant_MatMul-7-5,Quant_IP-7-7,Quant_MatMul-7-5,768,768,2,589824,0
Quant_IP-7-7,LayerNorm-7-8,Quant_IP-7-7,768,768,590594,590594,0
LayerNorm-7-8,Quant_IP-6-3,LayerNorm-7-8,768,768,1536,1536,0
Quant_IP-6-3,GELUActivation-6-4,Quant_IP-6-3,3072,768,2362370,2362370,0
GELUActivation-6-4,Quant_IP-6-5,GELUActivation-6-4,3072,3072,0,3072,0
Quant_IP-6-5,LayerNorm-6-6,Quant_IP-6-5,768,3072,2360066,2360066,0
LayerNorm-6-6,Quant_IP-7-10,LayerNorm-6-6,768,768,1536,1536,0
Quant_IP-7-10,Quant_IP-7-11,Quant_IP-7-10,768,768,590594,590594,0
Quant_IP-7-11,Quant_IP-7-12,Quant_IP-7-11,768,768,590594,590594,0
Quant_IP-7-12,Quant_MatMul-7-13,Quant_IP-7-12,768,768,590594,590594,0
Quant_MatMul-7-13,Quant_MatMul-7-14,Quant_MatMul-7-13,768,768,2,589824,0
Quant_MatMul-7-14,Quant_IP-7-16,Quant_MatMul-7-14,768,768,2,589824,0
Quant_IP-7-16,LayerNorm-7-17,Quant_IP-7-16,768,768,590594,590594,0
LayerNorm-7-17,Quant_IP-6-10,LayerNorm-7-17,768,768,1536,1536,0
Quant_IP-6-10,GELUActivation-6-11,Quant_IP-6-10,3072,768,2362370,2362370,0
GELUActivation-6-11,Quant_IP-6-12,GELUActivation-6-11,3072,3072,0,3072,0
Quant_IP-6-12,LayerNorm-6-13,Quant_IP-6-12,768,3072,2360066,2360066,0
LayerNorm-6-13,Quant_IP-7-19,LayerNorm-6-13,768,768,1536,1536,0
Quant_IP-7-19,Quant_IP-7-20,Quant_IP-7-19,768,768,590594,590594,0
Quant_IP-7-20,Quant_IP-7-21,Quant_IP-7-20,768,768,590594,590594,0
Quant_IP-7-21,Quant_MatMul-7-22,Quant_IP-7-21,768,768,590594,590594,0
Quant_MatMul-7-22,Quant_MatMul-7-23,Quant_MatMul-7-22,768,768,2,589824,0
Quant_MatMul-7-23,Quant_IP-7-25,Quant_MatMul-7-23,768,768,2,589824,0
Quant_IP-7-25,LayerNorm-7-26,Quant_IP-7-25,768,768,590594,590594,0
LayerNorm-7-26,Quant_IP-6-17,LayerNorm-7-26,768,768,1536,1536,0
Quant_IP-6-17,GELUActivation-6-18,Quant_IP-6-17,3072,768,2362370,2362370,0
GELUActivation-6-18,Quant_IP-6-19,GELUActivation-6-18,3072,3072,0,3072,0
Quant_IP-6-19,LayerNorm-6-20,Quant_IP-6-19,768,3072,2360066,2360066,0
LayerNorm-6-20,Quant_IP-7-28,LayerNorm-6-20,768,768,1536,1536,0
Quant_IP-7-28,Quant_IP-7-29,Quant_IP-7-28,768,768,590594,590594,0
Quant_IP-7-29,Quant_IP-7-30,Quant_IP-7-29,768,768,590594,590594,0
Quant_IP-7-30,Quant_MatMul-7-31,Quant_IP-7-30,768,768,590594,590594,0
Quant_MatMul-7-31,Quant_MatMul-7-32,Quant_MatMul-7-31,768,768,2,589824,0
Quant_MatMul-7-32,Quant_IP-7-34,Quant_MatMul-7-32,768,768,2,589824,0
Quant_IP-7-34,LayerNorm-7-35,Quant_IP-7-34,768,768,590594,590594,0
LayerNorm-7-35,Quant_IP-6-24,LayerNorm-7-35,768,768,1536,1536,0
Quant_IP-6-24,GELUActivation-6-25,Quant_IP-6-24,3072,768,2362370,2362370,0
GELUActivation-6-25,Quant_IP-6-26,GELUActivation-6-25,3072,3072,0,3072,0
Quant_IP-6-26,LayerNorm-6-27,Quant_IP-6-26,768,3072,2360066,2360066,0
LayerNorm-6-27,Quant_IP-7-37,LayerNorm-6-27,768,768,1536,1536,0
