layer_name,next_layer,layer_type,num_act_in_gradients,num_act_out_gradients,num_weight_gradients,forward_macs,mp_extra_compute
LayerNorm-4-1,Quant_Conv1D-5-1,LayerNorm-4-1,2304,2304,1536,1536,0
Quant_Conv1D-5-1,Quant_Conv1D-5-2,Quant_Conv1D-5-1,2304,768,1771778,1771778,0
Quant_Conv1D-5-2,Quant_MatMul-5-5,Quant_Conv1D-5-2,768,768,590594,590594,0
Quant_MatMul-5-5,Quant_MatMul-5-6,Quant_MatMul-5-5,768,768,2,589824,0
Quant_MatMul-5-6,LayerNorm-4-3,Quant_MatMul-5-6,768,768,2,589824,0
LayerNorm-4-3,Quant_Conv1D-5-7,LayerNorm-4-3,768,768,1536,1536,0
Quant_Conv1D-5-7,Quant_Conv1D-5-8,Quant_Conv1D-5-7,3072,768,2362370,2362370,0
Quant_Conv1D-5-8,NewGELUActivation-5-9,Quant_Conv1D-5-8,768,3072,2360066,2360066,0
NewGELUActivation-5-9,LayerNorm-4-5,NewGELUActivation-5-9,3072,3072,0,3072,0
LayerNorm-4-5,Quant_Conv1D-5-11,LayerNorm-4-5,3072,3072,1536,1536,0
Quant_Conv1D-5-11,Quant_Conv1D-5-12,Quant_Conv1D-5-11,2304,768,1771778,1771778,0
Quant_Conv1D-5-12,Quant_MatMul-5-15,Quant_Conv1D-5-12,768,768,590594,590594,0
Quant_MatMul-5-15,Quant_MatMul-5-16,Quant_MatMul-5-15,768,768,2,589824,0
Quant_MatMul-5-16,LayerNorm-4-7,Quant_MatMul-5-16,768,768,2,589824,0
LayerNorm-4-7,Quant_Conv1D-5-17,LayerNorm-4-7,768,768,1536,1536,0
Quant_Conv1D-5-17,Quant_Conv1D-5-18,Quant_Conv1D-5-17,3072,768,2362370,2362370,0
Quant_Conv1D-5-18,NewGELUActivation-5-19,Quant_Conv1D-5-18,768,3072,2360066,2360066,0
NewGELUActivation-5-19,LayerNorm-4-9,NewGELUActivation-5-19,3072,3072,0,3072,0
LayerNorm-4-9,Quant_Conv1D-5-21,LayerNorm-4-9,3072,2304,1536,1536,0
Quant_Conv1D-5-21,Quant_Conv1D-5-22,Quant_Conv1D-5-21,2304,768,1771778,1771778,0
Quant_Conv1D-5-22,Quant_MatMul-5-25,Quant_Conv1D-5-22,768,768,590594,590594,0
Quant_MatMul-5-25,Quant_MatMul-5-26,Quant_MatMul-5-25,768,768,2,589824,0
Quant_MatMul-5-26,LayerNorm-4-11,Quant_MatMul-5-26,768,768,2,589824,0
LayerNorm-4-11,Quant_Conv1D-5-27,LayerNorm-4-11,768,768,1536,1536,0
Quant_Conv1D-5-27,Quant_Conv1D-5-28,Quant_Conv1D-5-27,3072,768,2362370,2362370,0
Quant_Conv1D-5-28,NewGELUActivation-5-29,Quant_Conv1D-5-28,768,3072,2360066,2360066,0
NewGELUActivation-5-29,LayerNorm-4-13,NewGELUActivation-5-29,768,3072,0,768,0
LayerNorm-4-13,Quant_Conv1D-5-31,LayerNorm-4-13,768,3072,1536,1536,0
Quant_Conv1D-5-31,Quant_Conv1D-5-32,Quant_Conv1D-5-31,2304,768,1771778,1771778,0
Quant_Conv1D-5-32,Quant_MatMul-5-35,Quant_Conv1D-5-32,768,768,590594,590594,0
Quant_MatMul-5-35,Quant_MatMul-5-36,Quant_MatMul-5-35,768,768,2,589824,0
Quant_MatMul-5-36,LayerNorm-4-15,Quant_MatMul-5-36,768,768,2,589824,0
LayerNorm-4-15,Quant_Conv1D-5-37,LayerNorm-4-15,768,768,1536,1536,0
Quant_Conv1D-5-37,Quant_Conv1D-5-38,Quant_Conv1D-5-37,3072,768,2362370,2362370,0
Quant_Conv1D-5-38,NewGELUActivation-5-39,Quant_Conv1D-5-38,768,3072,2360066,2360066,0
NewGELUActivation-5-39,LayerNorm-4-17,NewGELUActivation-5-39,768,3072,0,768,0
LayerNorm-4-17,Quant_Conv1D-5-41,LayerNorm-4-17,768,3072,1536,1536,0
Quant_Conv1D-5-41,Quant_Conv1D-5-42,Quant_Conv1D-5-41,2304,768,1771778,1771778,0
Quant_Conv1D-5-42,Quant_MatMul-5-45,Quant_Conv1D-5-42,768,768,590594,590594,0
Quant_MatMul-5-45,Quant_MatMul-5-46,Quant_MatMul-5-45,768,768,2,589824,0
Quant_MatMul-5-46,LayerNorm-4-19,Quant_MatMul-5-46,768,768,2,589824,0
LayerNorm-4-19,Quant_Conv1D-5-47,LayerNorm-4-19,768,768,1536,1536,0
Quant_Conv1D-5-47,Quant_Conv1D-5-48,Quant_Conv1D-5-47,3072,768,2362370,2362370,0
Quant_Conv1D-5-48,NewGELUActivation-5-49,Quant_Conv1D-5-48,768,3072,2360066,2360066,0
NewGELUActivation-5-49,LayerNorm-4-21,NewGELUActivation-5-49,768,3072,0,768,0
LayerNorm-4-21,Quant_Conv1D-5-51,LayerNorm-4-21,768,3072,1536,1536,0
Quant_Conv1D-5-51,Quant_Conv1D-5-52,Quant_Conv1D-5-51,2304,768,1771778,1771778,0
Quant_Conv1D-5-52,Quant_MatMul-5-55,Quant_Conv1D-5-52,768,768,590594,590594,0
Quant_MatMul-5-55,Quant_MatMul-5-56,Quant_MatMul-5-55,768,768,2,589824,0
Quant_MatMul-5-56,LayerNorm-4-23,Quant_MatMul-5-56,768,768,2,589824,0
LayerNorm-4-23,Quant_Conv1D-5-57,LayerNorm-4-23,768,768,1536,1536,0
Quant_Conv1D-5-57,Quant_Conv1D-5-58,Quant_Conv1D-5-57,3072,768,2362370,2362370,0
Quant_Conv1D-5-58,NewGELUActivation-5-59,Quant_Conv1D-5-58,768,3072,2360066,2360066,0
NewGELUActivation-5-59,LayerNorm-4-25,NewGELUActivation-5-59,768,3072,0,768,0
LayerNorm-4-25,Quant_Conv1D-5-61,LayerNorm-4-25,768,3072,1536,1536,0
Quant_Conv1D-5-61,Quant_Conv1D-5-62,Quant_Conv1D-5-61,2304,768,1771778,1771778,0
Quant_Conv1D-5-62,Quant_MatMul-5-65,Quant_Conv1D-5-62,768,768,590594,590594,0
Quant_MatMul-5-65,Quant_MatMul-5-66,Quant_MatMul-5-65,768,768,2,589824,0
Quant_MatMul-5-66,LayerNorm-4-27,Quant_MatMul-5-66,768,768,2,589824,0
LayerNorm-4-27,Quant_Conv1D-5-67,LayerNorm-4-27,768,768,1536,1536,0
Quant_Conv1D-5-67,Quant_Conv1D-5-68,Quant_Conv1D-5-67,3072,768,2362370,2362370,0
Quant_Conv1D-5-68,NewGELUActivation-5-69,Quant_Conv1D-5-68,768,3072,2360066,2360066,0
NewGELUActivation-5-69,LayerNorm-4-29,NewGELUActivation-5-69,768,3072,0,768,0
LayerNorm-4-29,Quant_Conv1D-5-71,LayerNorm-4-29,768,3072,1536,1536,0
Quant_Conv1D-5-71,Quant_Conv1D-5-72,Quant_Conv1D-5-71,2304,768,1771778,1771778,0
Quant_Conv1D-5-72,Quant_MatMul-5-75,Quant_Conv1D-5-72,768,768,590594,590594,0
Quant_MatMul-5-75,Quant_MatMul-5-76,Quant_MatMul-5-75,768,768,2,589824,0
Quant_MatMul-5-76,LayerNorm-4-31,Quant_MatMul-5-76,768,768,2,589824,0
LayerNorm-4-31,Quant_Conv1D-5-77,LayerNorm-4-31,768,768,1536,1536,0
Quant_Conv1D-5-77,Quant_Conv1D-5-78,Quant_Conv1D-5-77,3072,768,2362370,2362370,0
Quant_Conv1D-5-78,NewGELUActivation-5-79,Quant_Conv1D-5-78,768,3072,2360066,2360066,0
NewGELUActivation-5-79,LayerNorm-4-33,NewGELUActivation-5-79,768,3072,0,768,0
LayerNorm-4-33,Quant_Conv1D-5-81,LayerNorm-4-33,768,3072,1536,1536,0
Quant_Conv1D-5-81,Quant_Conv1D-5-82,Quant_Conv1D-5-81,2304,768,1771778,1771778,0
Quant_Conv1D-5-82,Quant_MatMul-5-85,Quant_Conv1D-5-82,768,768,590594,590594,0
Quant_MatMul-5-85,Quant_MatMul-5-86,Quant_MatMul-5-85,768,768,2,589824,0
Quant_MatMul-5-86,LayerNorm-4-35,Quant_MatMul-5-86,768,768,2,589824,0
LayerNorm-4-35,Quant_Conv1D-5-87,LayerNorm-4-35,768,768,1536,1536,0
Quant_Conv1D-5-87,Quant_Conv1D-5-88,Quant_Conv1D-5-87,3072,768,2362370,2362370,0
Quant_Conv1D-5-88,NewGELUActivation-5-89,Quant_Conv1D-5-88,768,3072,2360066,2360066,0
NewGELUActivation-5-89,LayerNorm-4-37,NewGELUActivation-5-89,768,3072,0,768,0
LayerNorm-4-37,Quant_Conv1D-5-91,LayerNorm-4-37,768,3072,1536,1536,0
Quant_Conv1D-5-91,Quant_Conv1D-5-92,Quant_Conv1D-5-91,2304,768,1771778,1771778,0
Quant_Conv1D-5-92,Quant_MatMul-5-95,Quant_Conv1D-5-92,768,768,590594,590594,0
Quant_MatMul-5-95,Quant_MatMul-5-96,Quant_MatMul-5-95,768,768,2,589824,0
Quant_MatMul-5-96,LayerNorm-4-39,Quant_MatMul-5-96,768,768,2,589824,0
LayerNorm-4-39,Quant_Conv1D-5-97,LayerNorm-4-39,768,768,1536,1536,0
Quant_Conv1D-5-97,Quant_Conv1D-5-98,Quant_Conv1D-5-97,3072,768,2362370,2362370,0
Quant_Conv1D-5-98,NewGELUActivation-5-99,Quant_Conv1D-5-98,768,3072,2360066,2360066,0
NewGELUActivation-5-99,LayerNorm-4-41,NewGELUActivation-5-99,768,3072,0,768,0
LayerNorm-4-41,Quant_Conv1D-5-101,LayerNorm-4-41,768,3072,1536,1536,0
Quant_Conv1D-5-101,Quant_Conv1D-5-102,Quant_Conv1D-5-101,2304,768,1771778,1771778,0
Quant_Conv1D-5-102,Quant_MatMul-5-105,Quant_Conv1D-5-102,768,768,590594,590594,0
Quant_MatMul-5-105,Quant_MatMul-5-106,Quant_MatMul-5-105,768,768,2,589824,0
Quant_MatMul-5-106,LayerNorm-4-43,Quant_MatMul-5-106,768,768,2,589824,0
LayerNorm-4-43,Quant_Conv1D-5-107,LayerNorm-4-43,768,768,1536,1536,0
Quant_Conv1D-5-107,Quant_Conv1D-5-108,Quant_Conv1D-5-107,3072,768,2362370,2362370,0
Quant_Conv1D-5-108,NewGELUActivation-5-109,Quant_Conv1D-5-108,768,3072,2360066,2360066,0
NewGELUActivation-5-109,LayerNorm-4-45,NewGELUActivation-5-109,768,3072,0,768,0
LayerNorm-4-45,Quant_Conv1D-5-111,LayerNorm-4-45,768,3072,1536,1536,0
Quant_Conv1D-5-111,Quant_Conv1D-5-112,Quant_Conv1D-5-111,2304,768,1771778,1771778,0
Quant_Conv1D-5-112,Quant_MatMul-5-115,Quant_Conv1D-5-112,768,768,590594,590594,0
Quant_MatMul-5-115,Quant_MatMul-5-1162,Quant_MatMul-5-115,768,768,2,589824,0
Quant_MatMul-5-1162,LayerNorm-4-47,Quant_MatMul-5-1162,768,768,2,589824,0
LayerNorm-4-47,Quant_Conv1D-5-117,LayerNorm-4-47,768,768,1536,1536,0
Quant_Conv1D-5-117,Quant_Conv1D-5-118,Quant_Conv1D-5-117,3072,768,2362370,2362370,0
Quant_Conv1D-5-118,NewGELUActivation-5-119,Quant_Conv1D-5-118,768,3072,2360066,2360066,0
NewGELUActivation-5-119,LayerNorm-2-5,NewGELUActivation-5-119,768,3072,0,768,0
LayerNorm-2-5,Quant_IP-1-2-1,LayerNorm-2-5,768,3072,1536,1536,0
Quant_IP-1-2-1,Quant_IP-1-2-2,Quant_IP-1-2-1,768,50257,2412336,2412336,0
Quant_IP-1-2-2,Quant_IP-1-2-3,Quant_IP-1-2-2,768,50257,2412336,2412336,0
Quant_IP-1-2-3,Quant_IP-1-2-4,Quant_IP-1-2-3,768,50257,2412336,2412336,0
Quant_IP-1-2-4,Quant_IP-1-2-5,Quant_IP-1-2-4,768,50257,2412336,2412336,0
Quant_IP-1-2-5,Quant_IP-1-2-6,Quant_IP-1-2-5,768,50257,2412336,2412336,0
Quant_IP-1-2-6,Quant_IP-1-2-7,Quant_IP-1-2-6,768,50257,2412336,2412336,0
Quant_IP-1-2-7,Quant_IP-1-2-8,Quant_IP-1-2-7,768,50257,2412336,2412336,0
Quant_IP-1-2-8,Quant_IP-1-2-9,Quant_IP-1-2-8,768,50257,2412336,2412336,0
Quant_IP-1-2-9,Quant_IP-1-2-10,Quant_IP-1-2-9,768,50257,2412336,2412336,0
Quant_IP-1-2-10,Quant_IP-1-2-11,Quant_IP-1-2-10,768,50257,2412336,2412336,0
Quant_IP-1-2-11,Quant_IP-1-2-12,Quant_IP-1-2-11,768,50257,2412336,2412336,0
Quant_IP-1-2-12,Quant_IP-1-2-13,Quant_IP-1-2-12,768,50257,2412336,2412336,0
Quant_IP-1-2-13,Quant_IP-1-2-14,Quant_IP-1-2-13,768,50257,2412336,2412336,0
Quant_IP-1-2-14,Quant_IP-1-2-15,Quant_IP-1-2-14,768,50257,2412336,2412336,0
Quant_IP-1-2-15,Quant_IP-1-2-16,Quant_IP-1-2-15,768,50257,2412336,2412336,0
Quant_IP-1-2-16,LAST_LAYER,Quant_IP-1-2-16,768,50257,2412336,2412336,0
