layer_name,next_layer,layer_type,num_act_in_gradients,num_act_out_gradients,num_weight_gradients,forward_macs,mp_extra_compute
mobilenet_v2_features_0_0,mobilenet_v2_features_0_1,mobilenet_v2_features_0_0,150528,401408,864,10838016,0
mobilenet_v2_features_0_1,mobilenet_v2_features_1_conv_0_0,mobilenet_v2_features_0_1,401408,401408,64,64,0
mobilenet_v2_features_1_conv_0_0,mobilenet_v2_features_1_batchnorm_0_1,mobilenet_v2_features_1_conv_0_0,401408,401408,288,3612672,0
mobilenet_v2_features_1_batchnorm_0_1,mobilenet_v2_features_1_conv_1,mobilenet_v2_features_1_batchnorm_0_1,401408,401408,64,64,0
mobilenet_v2_features_1_conv_1,mobilenet_v2_features_1_batchnorm_2,mobilenet_v2_features_1_conv_1,401408,200704,512,6422528,0
mobilenet_v2_features_1_batchnorm_2,mobilenet_v2_features_2_conv_0_0,mobilenet_v2_features_1_batchnorm_2,200704,200704,32,32,0
mobilenet_v2_features_2_conv_0_0,mobilenet_v2_features_2_batchnorm_0_1,mobilenet_v2_features_2_conv_0_0,200704,1204224,1536,19267584,0
mobilenet_v2_features_2_batchnorm_0_1,mobilenet_v2_features_2_conv_1_0,mobilenet_v2_features_2_batchnorm_0_1,1204224,1204224,192,192,0
mobilenet_v2_features_2_conv_1_0,mobilenet_v2_features_2_batchnorm_1_1,mobilenet_v2_features_2_conv_1_0,1204224,301056,864,2709504,0
mobilenet_v2_features_2_batchnorm_1_1,mobilenet_v2_features_2_conv_2,mobilenet_v2_features_2_batchnorm_1_1,301056,301056,192,192,0
mobilenet_v2_features_2_conv_2,mobilenet_v2_features_2_batchnorm_3,mobilenet_v2_features_2_conv_2,301056,75264,2304,7225344,0
mobilenet_v2_features_2_batchnorm_3,mobilenet_v2_features_3_conv_0_0,mobilenet_v2_features_2_batchnorm_3,75264,75264,48,48,0
mobilenet_v2_features_3_conv_0_0,mobilenet_v2_features_3_batchnorm_0_1,mobilenet_v2_features_3_conv_0_0,75264,451584,3456,10838016,0
