layer,next_layer,layer_type,# act in gradients,# act out gradients,# weight gradients,forward macs,extra compute
conv1,bn1,CONV,150528,802816,9472,118816768,0
bn1,relu1,BN,0,0,0,0,0
relu1,maxpool1,RELU,0,0,0,0,0
maxpool1,layer1.0_conv1,MAX,802816,200704,0,0,0
layer1.0_conv1,layer1.0_bn1,CONV,200704,200704,36928,115806208,0
layer1.0_bn1,layer1.0_relu1,BN,0,0,0,0,0
layer1.0_relu1,layer1.0_conv2,RELU,0,0,0,0,0
layer1.0_conv2,layer1.0_bn2,CONV,200704,200704,36928,115806208,0
layer1.0_bn2,layer1.0_add1,BN,0,0,0,0,0
layer1.0_add1,layer1.0_relu2,ADD,0,0,0,0,0
layer1.0_relu2,layer1.1_add1,RELU,0,0,0,0,0
layer1.1_conv1,layer1.1_bn1,CONV,200704,200704,36928,115806208,0
layer1.1_bn1,layer1.1_relu1,BN,0,0,0,0,0
layer1.1_relu1,layer1.1_conv2,RELU,0,0,0,0,0
layer1.1_conv2,layer1.1_bn2,CONV,200704,200704,36928,115806208,0
layer1.1_bn2,layer1.1_add1,BN,0,0,0,0,0
layer1.1_add1,layer1.1_relu2,ADD,0,0,0,0,0
layer1.1_relu2,layer2.0_downsample.0.conv,RELU,0,0,0,0,0
layer2.0_conv1,layer2.0_bn1,CONV,200704,100352,73856,57903104,0
layer2.0_bn1,layer2.0_relu1,BN,0,0,0,0,0
layer2.0_relu1,layer2.0_conv2,RELU,0,0,0,0,0
layer2.0_conv2,layer2.0_bn2,CONV,100352,100352,147584,115705856,0
layer2.0_bn2,layer2.0_downsample.0.conv,BN,0,0,0,0,0
layer2.0_downsample.0.conv,layer2.0_downsample.0.bn,CONV,200704,100352,8320,6522880,0
layer2.0_downsample.0.bn,layer2.0_add1,BN,0,0,0,0,0
layer2.0_add1,layer2.0_relu2,ADD,0,0,0,0,0
layer2.0_relu2,layer2.1_conv1,RELU,0,0,0,0,0
layer2.1_conv1,layer2.1_bn1,CONV,100352,100352,147584,115705856,0
layer2.1_bn1,layer2.1_relu1,BN,0,0,0,0,0
layer2.1_relu1,layer2.1_conv2,RELU,0,0,0,0,0
layer2.1_conv2,layer2.1_bn2,CONV,100352,100352,147584,115705856,0
layer2.1_bn2,layer2.1_add1,BN,0,0,0,0,0
layer2.1_add1,layer2.1_relu2,ADD,0,0,0,0,0
layer2.1_relu2,layer3.0_conv1,RELU,0,0,0,0,0
layer3.0_conv1,layer3.0_bn1,CONV,100352,50176,295168,57852928,0
layer3.0_bn1,layer3.0_relu1,BN,0,0,0,0,0
layer3.0_relu1,layer3.0_conv2,RELU,0,0,0,0,0
layer3.0_conv2,layer3.0_bn2,CONV,50176,50176,590080,115655680,0
layer3.0_bn2,layer3.0_downsample.0.conv,BN,0,0,0,0,0
layer3.0_downsample.0.conv,layer3.0_downsample.0.bn,CONV,100352,50176,295168,49890304,0
layer3.0_downsample.0.bn,layer3.0_add1,BN,0,0,0,0,0
layer3.0_add1,layer3.0_relu2,ADD,0,0,0,0,0
layer3.0_relu2,layer3.1_add1,RELU,0,0,0,0,0
layer3.1_conv1,layer3.1_bn1,CONV,50176,50176,590080,115655680,0
layer3.1_bn1,layer3.1_relu1,BN,0,0,0,0,0
layer3.1_relu1,layer3.1_conv2,RELU,0,0,0,0,0
layer3.1_conv2,layer3.1_bn2,CONV,50176,50176,590080,115655680,0
layer3.1_bn2,layer3.1_add1,BN,0,0,0,0,0
layer3.1_add1,layer3.1_relu2,ADD,0,0,0,0,0
layer3.1_relu2,layer4.0_downsample.0.conv,RELU,0,0,0,0,0
layer4.0_conv1,layer4.0_bn1,CONV,50176,25088,1180160,57827840,0
layer4.0_bn1,layer4.0_relu1,BN,0,0,0,0,0
layer4.0_relu1,layer4.0_conv2,RELU,0,0,0,0,0
layer4.0_conv2,layer4.0_bn2,CONV,25088,25088,2359808,115630592,0
layer4.0_bn2,layer4.0_downsample.0.conv,BN,0,0,0,0,0
layer4.0_downsample.0.conv,layer4.0_downsample.0.bn,CONV,50176,25088,131584,6447616,0
layer4.0_downsample.0.bn,layer4.0_add,BN,0,0,0,0,0
layer4.0_add,layer4.0_relu2,ADD,0,0,0,0,0
layer4.0_relu2,layer4.1_bn2,RELU,0,0,0,0,0
layer4.1_conv1,layer4.1_bn1,CONV,25088,25088,2359808,115630592,0
layer4.1_bn1,layer4.1_relu1,BN,0,0,0,0,0
layer4.1_relu1,layer4.1_conv2,RELU,0,0,0,0,0
layer4.1_conv2,layer4.1_bn2,CONV,25088,25088,2359808,115655680,0
layer4.1_bn2,avgpool2,BN,0,0,0,0,0
avgpool2,fc1,AVG,0,0,0,25088,0
fc1,LAST_LAYER,FC,25088,1000,513000,512000,0
