layer_name,next_layer,layer_type,num_act_in_gradients,num_act_out_gradients,num_weight_gradients,forward_macs,mp_extra_compute
Conv2d-1-1,BatchNorm2d-1-2,Conv2d-1-1,150528,802816,9408,118013952,1
BatchNorm2d-1-2,ReLU-1-3,BatchNorm2d-1-2,802816,802816,128,128,1
ReLU-1-3,MaxPool2d-1-4,ReLU-1-3,802816,802816,0,0,1
MaxPool2d-1-4,Conv2d-3-1,MaxPool2d-1-4,802816,200704,0,0,1
Conv2d-3-1,BatchNorm2d-3-2,Conv2d-3-1,200704,200704,4096,12845056,1
BatchNorm2d-3-2,ReLU-3-3,BatchNorm2d-3-2,200704,200704,128,128,1
ReLU-3-3,Conv2d-3-4,ReLU-3-3,200704,200704,0,0,1
Conv2d-3-4,BatchNorm2d-3-5,Conv2d-3-4,200704,200704,36864,115605504,1
BatchNorm2d-3-5,ReLU-3-6,BatchNorm2d-3-5,200704,200704,128,128,1
ReLU-3-6,Conv2d-3-7,ReLU-3-6,200704,200704,0,0,1
Conv2d-3-7,BatchNorm2d-3-8,Conv2d-3-7,200704,802816,16384,51380224,1
BatchNorm2d-3-8,Conv2d-4-1,BatchNorm2d-3-8,802816,802816,512,512,1
Conv2d-4-1,BatchNorm2d-4-2,Conv2d-4-1,200704,802816,16384,51380224,1
BatchNorm2d-4-2,ReLU-3-10,BatchNorm2d-4-2,802816,802816,512,512,1
ReLU-3-10,Conv2d-3-11,ReLU-3-10,802816,802816,0,0,1
Conv2d-3-11,BatchNorm2d-3-12,Conv2d-3-11,802816,200704,16384,51380224,1
BatchNorm2d-3-12,ReLU-3-13,BatchNorm2d-3-12,200704,200704,128,128,1
ReLU-3-13,Conv2d-3-14,ReLU-3-13,200704,200704,0,0,1
Conv2d-3-14,BatchNorm2d-3-15,Conv2d-3-14,200704,200704,36864,115605504,1
BatchNorm2d-3-15,ReLU-3-16,BatchNorm2d-3-15,200704,200704,128,128,1
ReLU-3-16,Conv2d-3-17,ReLU-3-16,200704,200704,0,0,1
Conv2d-3-17,BatchNorm2d-3-18,Conv2d-3-17,200704,802816,16384,51380224,1
BatchNorm2d-3-18,ReLU-3-19,BatchNorm2d-3-18,802816,802816,512,512,1
ReLU-3-19,Conv2d-3-20,ReLU-3-19,802816,802816,0,0,1
Conv2d-3-20,BatchNorm2d-3-21,Conv2d-3-20,802816,200704,16384,51380224,1
BatchNorm2d-3-21,ReLU-3-22,BatchNorm2d-3-21,200704,200704,128,128,1
ReLU-3-22,Conv2d-3-23,ReLU-3-22,200704,200704,0,0,1
Conv2d-3-23,BatchNorm2d-3-24,Conv2d-3-23,200704,200704,36864,115605504,1
BatchNorm2d-3-24,ReLU-3-25,BatchNorm2d-3-24,200704,200704,128,128,1
ReLU-3-25,Conv2d-3-26,ReLU-3-25,200704,200704,0,0,1
Conv2d-3-26,BatchNorm2d-3-27,Conv2d-3-26,200704,802816,16384,51380224,1
BatchNorm2d-3-27,ReLU-3-28,BatchNorm2d-3-27,802816,802816,512,512,1
ReLU-3-28,Conv2d-3-29,ReLU-3-28,802816,802816,0,0,1
Conv2d-3-29,BatchNorm2d-3-30,Conv2d-3-29,802816,401408,32768,102760448,1
BatchNorm2d-3-30,ReLU-3-31,BatchNorm2d-3-30,401408,401408,256,256,1
ReLU-3-31,Conv2d-3-32,ReLU-3-31,401408,401408,0,0,1
